Time [s],CH1 [V],CH2 [V] 
2.000000e-07,-0.540000000000, -0.016000000000,
2.000000e-07,-0.540000000000, -0.016000000000,
2.000000e-07,-0.560000000000, -0.016000000000,
2.000000e-07,-0.560000000000, -0.016000000000,
2.000000e-07,-0.560000000000, -0.016000000000,
2.000000e-07,-0.540000000000, -0.016000000000,
2.000000e-07,-0.560000000000, -0.016000000000,
2.000000e-07,-0.540000000000, -0.016000000000,
2.000000e-07,-0.560000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.014000000000,
2.000000e-07,-0.560000000000, -0.016000000000,
2.000000e-07,-0.560000000000, -0.016000000000,
2.000000e-07,-0.560000000000, -0.016000000000,
2.000000e-07,-0.560000000000, -0.014000000000,
2.000000e-07,-0.560000000000, -0.016000000000,
2.000000e-07,-0.540000000000, -0.016000000000,
2.000000e-07,-0.560000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.560000000000, -0.016000000000,
2.000000e-07,-0.560000000000, -0.014000000000,
2.000000e-07,-0.540000000000, -0.014000000000,
2.000000e-07,-0.560000000000, -0.016000000000,
2.000000e-07,-0.560000000000, -0.016000000000,
2.000000e-07,-0.560000000000, -0.016000000000,
2.000000e-07,-0.560000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.560000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.560000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.014000000000,
2.000000e-07,-0.560000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.014000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.560000000000, -0.014000000000,
2.000000e-07,-0.560000000000, -0.014000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.560000000000, -0.016000000000,
2.000000e-07,-0.560000000000, -0.016000000000,
2.000000e-07,-0.560000000000, -0.014000000000,
2.000000e-07,-0.560000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.600000000000, -0.016000000000,
2.000000e-07,-0.600000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.600000000000, -0.016000000000,
2.000000e-07,-0.620000000000, -0.016000000000,
2.000000e-07,-0.600000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.560000000000, -0.016000000000,
2.000000e-07,-0.560000000000, -0.018000000000,
2.000000e-07,-0.600000000000, -0.016000000000,
2.000000e-07,-0.600000000000, -0.016000000000,
2.000000e-07,-0.600000000000, -0.018000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.600000000000, -0.018000000000,
2.000000e-07,-0.600000000000, -0.016000000000,
2.000000e-07,-0.600000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.018000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.620000000000, -0.018000000000,
2.000000e-07,-0.620000000000, -0.016000000000,
2.000000e-07,-0.600000000000, -0.016000000000,
2.000000e-07,-0.600000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.600000000000, -0.016000000000,
2.000000e-07,-0.600000000000, -0.016000000000,
2.000000e-07,-0.620000000000, -0.018000000000,
2.000000e-07,-0.620000000000, -0.016000000000,
2.000000e-07,-0.600000000000, -0.018000000000,
2.000000e-07,-0.600000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.600000000000, -0.018000000000,
2.000000e-07,-0.620000000000, -0.016000000000,
2.000000e-07,-0.600000000000, -0.016000000000,
2.000000e-07,-0.600000000000, -0.016000000000,
2.000000e-07,-0.600000000000, -0.016000000000,
2.000000e-07,-0.580000000000, -0.016000000000,
2.000000e-07,-0.600000000000, -0.018000000000,
2.000000e-07,-0.620000000000, -0.018000000000,
2.000000e-07,-0.640000000000, -0.018000000000,
2.000000e-07,-0.640000000000, -0.018000000000,
2.000000e-07,-0.640000000000, -0.018000000000,
2.000000e-07,-0.620000000000, -0.018000000000,
2.000000e-07,-0.600000000000, -0.016000000000,
2.000000e-07,-0.600000000000, -0.018000000000,
2.000000e-07,-0.620000000000, -0.016000000000,
2.000000e-07,-0.620000000000, -0.018000000000,
2.000000e-07,-0.620000000000, -0.018000000000,
2.000000e-07,-0.620000000000, -0.018000000000,
2.000000e-07,-0.620000000000, -0.018000000000,
2.000000e-07,-0.620000000000, -0.016000000000,
2.000000e-07,-0.600000000000, -0.018000000000,
2.000000e-07,-0.600000000000, -0.018000000000,
2.000000e-07,-0.620000000000, -0.018000000000,
2.000000e-07,-0.620000000000, -0.016000000000,
2.000000e-07,-0.620000000000, -0.018000000000,
2.000000e-07,-0.620000000000, -0.016000000000,
2.000000e-07,-0.600000000000, -0.018000000000,
2.000000e-07,-0.600000000000, -0.018000000000,
2.000000e-07,-0.620000000000, -0.018000000000,
2.000000e-07,-0.640000000000, -0.018000000000,
2.000000e-07,-0.640000000000, -0.018000000000,
2.000000e-07,-0.620000000000, -0.018000000000,
2.000000e-07,-0.620000000000, -0.018000000000,
2.000000e-07,-0.620000000000, -0.018000000000,
2.000000e-07,-0.620000000000, -0.018000000000,
2.000000e-07,-0.620000000000, -0.018000000000,
2.000000e-07,-0.640000000000, -0.016000000000,
2.000000e-07,-0.640000000000, -0.018000000000,
2.000000e-07,-0.640000000000, -0.018000000000,
2.000000e-07,-0.640000000000, -0.018000000000,
2.000000e-07,-0.640000000000, -0.018000000000,
2.000000e-07,-0.600000000000, -0.014000000000,
2.000000e-07,-0.620000000000, -0.018000000000,
